formula,description
TaS2,"TaS2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one TaS2 sheet oriented in the (0, 0, 1) direction. Ta(1) is bonded to six equivalent S(1) atoms to form edge-sharing TaS6 octahedra. All Ta(1)-S(1) bond lengths are 2.48 Å. S(1) is bonded in a distorted T-shaped geometry to three equivalent Ta(1) atoms."
Ho2C,"Ho2C is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Ho2C sheet oriented in the (0, 0, 1) direction. Ho(1) is bonded in a distorted T-shaped geometry to three equivalent C(1) atoms. All Ho(1)-C(1) bond lengths are 2.43 Å. C(1) is bonded to six equivalent Ho(1) atoms to form edge-sharing CHo6 octahedra."
ZrSe2,"ZrSe2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one ZrSe2 sheet oriented in the (0, 0, 1) direction. Zr(1) is bonded to six equivalent Se(1) atoms to form edge-sharing ZrSe6 octahedra. All Zr(1)-Se(1) bond lengths are 2.70 Å. Se(1) is bonded in a distorted T-shaped geometry to three equivalent Zr(1) atoms."
AgO2Cl,"AgO2Cl crystallizes in the orthorhombic Pcca space group. The structure is two-dimensional and consists of one AgO2Cl sheet oriented in the (0, 0, 1) direction. Ag(1) is bonded to six equivalent O(1) atoms to form a mixture of distorted corner and edge-sharing AgO6 pentagonal pyramids. There are a spread of Ag(1)-O(1) bond distances ranging from 2.43-2.60 Å. O(1) is bonded to three equivalent Ag(1) and one Cl(1) atom to form a mixture of corner and edge-sharing OAg3Cl trigonal pyramids. The O(1)-Cl(1) bond length is 1.60 Å. Cl(1) is bonded in a water-like geometry to two equivalent O(1) atoms."
GaTeCl,"GaTeCl crystallizes in the orthorhombic Pmn2_1 space group. The structure is two-dimensional and consists of one GaTeCl sheet oriented in the (0, 0, 1) direction. Ga(1) is bonded to three equivalent Te(1) and one Cl(1) atom to form distorted corner-sharing GaTe3Cl tetrahedra. There is one shorter (2.65 Å) and two longer (2.67 Å) Ga(1)-Te(1) bond lengths. The Ga(1)-Cl(1) bond length is 2.21 Å. Te(1) is bonded in a distorted trigonal non-coplanar geometry to three equivalent Ga(1) atoms. Cl(1) is bonded in a single-bond geometry to one Ga(1) atom."
TbH2Br,"TbH2Br crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one TbH2Br sheet oriented in the (0, 0, 1) direction. Tb(1) is bonded in a 10-coordinate geometry to three equivalent H(2), four equivalent H(1), and three equivalent Br(1) atoms. All Tb(1)-H(2) bond lengths are 2.19 Å. There is one shorter (2.23 Å) and three longer (2.39 Å) Tb(1)-H(1) bond lengths. All Tb(1)-Br(1) bond lengths are 2.92 Å. There are two inequivalent H sites. In the first H site, H(1) is bonded to four equivalent Tb(1) atoms to form a mixture of corner and edge-sharing HTb4 tetrahedra. In the second H site, H(2) is bonded in a trigonal planar geometry to three equivalent Tb(1) atoms. Br(1) is bonded in a 3-coordinate geometry to three equivalent Tb(1) atoms."
HfSe3,"HfSe3 crystallizes in the monoclinic P2_1/m space group. The structure is two-dimensional and consists of one HfSe3 sheet oriented in the (0, 0, 1) direction. Hf(1) is bonded in a 8-coordinate geometry to two equivalent Se(1), two equivalent Se(2), and four equivalent Se(3) atoms. Both Hf(1)-Se(1) bond lengths are 2.74 Å. Both Hf(1)-Se(2) bond lengths are 2.74 Å. There are two shorter (2.72 Å) and two longer (2.89 Å) Hf(1)-Se(3) bond lengths. There are three inequivalent Se sites. In the first Se site, Se(1) is bonded in an L-shaped geometry to two equivalent Hf(1) atoms. In the second Se site, Se(2) is bonded in an L-shaped geometry to two equivalent Hf(1) atoms. In the third Se site, Se(3) is bonded to four equivalent Hf(1) atoms to form a mixture of distorted corner and edge-sharing SeHf4 trigonal pyramids."
S3N2Cl2,"S3N2Cl2 is Indium-like structured and crystallizes in the triclinic P1 space group. The structure is zero-dimensional and consists of one S3N2Cl2 cluster. There are two inequivalent N sites. In the first N site, N(1) is bonded in a distorted single-bond geometry to one S(1) and one S(2) atom. The N(1)-S(1) bond length is 1.55 Å. The N(1)-S(2) bond length is 1.64 Å. In the second N site, N(2) is bonded in a single-bond geometry to one S(2) and one S(3) atom. The N(2)-S(2) bond length is 1.55 Å. The N(2)-S(3) bond length is 1.62 Å. There are three inequivalent S sites. In the first S site, S(1) is bonded in a distorted trigonal non-coplanar geometry to one N(1), one S(3), and one Cl(1) atom. The S(1)-S(3) bond length is 2.20 Å. The S(1)-Cl(1) bond length is 2.26 Å. In the second S site, S(2) is bonded in a water-like geometry to one N(1) and one N(2) atom. In the third S site, S(3) is bonded in a 3-coordinate geometry to one N(2), one S(1), and one Cl(2) atom. The S(3)-Cl(2) bond length is 2.87 Å. There are two inequivalent Cl sites. In the first Cl site, Cl(1) is bonded in a single-bond geometry to one S(1) atom. In the second Cl site, Cl(2) is bonded in a 3-coordinate geometry to one S(3) atom."
Li2CeAs2,"Li2CeAs2 crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Li2CeAs2 sheet oriented in the (0, 0, 1) direction. Li(1) is bonded in a trigonal non-coplanar geometry to three equivalent As(1) atoms. All Li(1)-As(1) bond lengths are 2.59 Å. Ce(1) is bonded to six equivalent As(1) atoms to form edge-sharing CeAs6 octahedra. All Ce(1)-As(1) bond lengths are 2.93 Å. As(1) is bonded to three equivalent Li(1) and three equivalent Ce(1) atoms to form a mixture of distorted corner and edge-sharing AsLi3Ce3 octahedra. The corner-sharing octahedra are not tilted."
SiS,"SiS crystallizes in the orthorhombic Pmna space group. The structure is one-dimensional and consists of two SiS ribbons oriented in the (0, 1, 0) direction. Si(1) is bonded in a distorted water-like geometry to two equivalent S(1) atoms. Both Si(1)-S(1) bond lengths are 2.17 Å. S(1) is bonded in a water-like geometry to two equivalent Si(1) atoms."
AsCl3,"AsCl3 is Ammonia-like structured and crystallizes in the monoclinic P2_1/m space group. The structure is zero-dimensional and consists of two arsenic trichloride molecules. As(1) is bonded in a distorted trigonal non-coplanar geometry to one Cl(2) and two equivalent Cl(1) atoms. The As(1)-Cl(2) bond length is 2.22 Å. Both As(1)-Cl(1) bond lengths are 2.23 Å. There are two inequivalent Cl sites. In the first Cl site, Cl(1) is bonded in a single-bond geometry to one As(1) atom. In the second Cl site, Cl(2) is bonded in a single-bond geometry to one As(1) atom."
RhTeCl,"RhTeCl is trigonal omega-derived structured and crystallizes in the monoclinic P2_1/m space group. The structure is two-dimensional and consists of one RhTeCl sheet oriented in the (0, 0, 1) direction. Rh(1) is bonded to three equivalent Te(1) and three equivalent Cl(1) atoms to form edge-sharing RhTe3Cl3 octahedra. There are two shorter (2.58 Å) and one longer (2.59 Å) Rh(1)-Te(1) bond length. There is one shorter (2.52 Å) and two longer (2.57 Å) Rh(1)-Cl(1) bond lengths. Te(1) is bonded in a distorted T-shaped geometry to three equivalent Rh(1) atoms. Cl(1) is bonded in a distorted T-shaped geometry to three equivalent Rh(1) atoms."
KSbS2,"KSbS2 crystallizes in the monoclinic P2/c space group. The structure is one-dimensional and consists of two KSbS2 ribbons oriented in the (1, 0, 1) direction. K(1) is bonded in a distorted water-like geometry to two equivalent S(1) atoms. Both K(1)-S(1) bond lengths are 3.14 Å. Sb(1) is bonded in a water-like geometry to two equivalent S(1) atoms. Both Sb(1)-S(1) bond lengths are 2.45 Å. S(1) is bonded in a distorted water-like geometry to one K(1) and one Sb(1) atom."
AlOCl,"AlOCl crystallizes in the orthorhombic Pmmn space group. The structure is two-dimensional and consists of one AlOCl sheet oriented in the (0, 0, 1) direction. Al(1) is bonded to four equivalent O(1) and two equivalent Cl(1) atoms to form a mixture of distorted corner and edge-sharing AlCl2O4 octahedra. The corner-sharing octahedral tilt angles are 28°. There are two shorter (1.87 Å) and two longer (2.00 Å) Al(1)-O(1) bond lengths. Both Al(1)-Cl(1) bond lengths are 2.31 Å. O(1) is bonded to four equivalent Al(1) atoms to form a mixture of distorted corner and edge-sharing OAl4 tetrahedra. Cl(1) is bonded in an L-shaped geometry to two equivalent Al(1) atoms."
SiH4,"SiH4 is Silicon tetrafluoride-like structured and crystallizes in the monoclinic Pc space group. The structure is zero-dimensional and consists of two 5j076063r1 molecules. Si(1) is bonded in a tetrahedral geometry to one H(2); one H(3); and two equivalent H(1,4) atoms. The Si(1)-H(2) bond length is 1.49 Å. The Si(1)-H(3) bond length is 1.49 Å. Both Si(1)-H(1,4) bond lengths are 1.49 Å. There are three inequivalent H sites. In the first H site, H(1,4) is bonded in a single-bond geometry to one Si(1) atom. In the second H site, H(2) is bonded in a single-bond geometry to one Si(1) atom. In the third H site, H(3) is bonded in a single-bond geometry to one Si(1) atom."
NbO2,"NbO2 is Molybdenite-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one NbO2 sheet oriented in the (0, 0, 1) direction. Nb(1) is bonded in a 6-coordinate geometry to six equivalent O(1) atoms. All Nb(1)-O(1) bond lengths are 2.10 Å. O(1) is bonded in a distorted T-shaped geometry to three equivalent Nb(1) atoms."
PbI2,"PbI2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one PbI2 sheet oriented in the (0, 0, 1) direction. Pb(1) is bonded to six equivalent I(1) atoms to form edge-sharing PbI6 octahedra. All Pb(1)-I(1) bond lengths are 3.25 Å. I(1) is bonded in a distorted T-shaped geometry to three equivalent Pb(1) atoms."
Ba2N,"Ba2N is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Ba2N sheet oriented in the (0, 0, 1) direction. Ba(1) is bonded in a distorted T-shaped geometry to three equivalent N(1) atoms. All Ba(1)-N(1) bond lengths are 2.75 Å. N(1) is bonded to six equivalent Ba(1) atoms to form edge-sharing NBa6 octahedra."
CaI2,"CaI2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one CaI2 sheet oriented in the (0, 0, 1) direction. Ca(1) is bonded to six equivalent I(1) atoms to form edge-sharing CaI6 octahedra. All Ca(1)-I(1) bond lengths are 3.13 Å. I(1) is bonded in a distorted T-shaped geometry to three equivalent Ca(1) atoms."
Tb2C,"Tb2C is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Tb2C sheet oriented in the (0, 0, 1) direction. Tb(1) is bonded in a distorted T-shaped geometry to three equivalent C(1) atoms. All Tb(1)-C(1) bond lengths are 2.45 Å. C(1) is bonded to six equivalent Tb(1) atoms to form edge-sharing CTb6 octahedra."
Ni2SbTe2,"Ni2SbTe2 crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one Ni2SbTe2 sheet oriented in the (0, 0, 1) direction. Ni(1) is bonded in a 7-coordinate geometry to one Ni(1), three equivalent Sb(1), and three equivalent Te(1) atoms. The Ni(1)-Ni(1) bond length is 2.67 Å. All Ni(1)-Sb(1) bond lengths are 2.61 Å. All Ni(1)-Te(1) bond lengths are 2.59 Å. Sb(1) is bonded in a 6-coordinate geometry to six equivalent Ni(1) atoms. Te(1) is bonded in a 3-coordinate geometry to three equivalent Ni(1) atoms."
VO2,"VO2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one VO2 sheet oriented in the (0, 0, 1) direction. V(1) is bonded to six equivalent O(1) atoms to form edge-sharing VO6 octahedra. All V(1)-O(1) bond lengths are 1.94 Å. O(1) is bonded in a distorted T-shaped geometry to three equivalent V(1) atoms."
MgI2,"MgI2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one MgI2 sheet oriented in the (0, 0, 1) direction. Mg(1) is bonded to six equivalent I(1) atoms to form edge-sharing MgI6 octahedra. All Mg(1)-I(1) bond lengths are 2.93 Å. I(1) is bonded in a distorted T-shaped geometry to three equivalent Mg(1) atoms."
NbS2,"NbS2 is Molybdenite-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one NbS2 sheet oriented in the (0, 0, 1) direction. Nb(1) is bonded to six equivalent S(1) atoms to form distorted edge-sharing NbS6 pentagonal pyramids. All Nb(1)-S(1) bond lengths are 2.50 Å. S(1) is bonded in a distorted T-shaped geometry to three equivalent Nb(1) atoms."
BiOF,"BiOF is Cotunnite-derived structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one BiOF sheet oriented in the (0, 0, 1) direction. Bi(1) is bonded in a 7-coordinate geometry to four equivalent O(1) and three equivalent F(1) atoms. There is one shorter (2.25 Å) and three longer (2.40 Å) Bi(1)-O(1) bond lengths. All Bi(1)-F(1) bond lengths are 2.49 Å. O(1) is bonded to four equivalent Bi(1) atoms to form a mixture of corner and edge-sharing OBi4 tetrahedra. F(1) is bonded in a trigonal non-coplanar geometry to three equivalent Bi(1) atoms."
FeAl2S4,"FeAl2S4 crystallizes in the trigonal P3m1 space group. The structure is two-dimensional and consists of one FeAl2S4 sheet oriented in the (0, 0, 1) direction. Fe(1) is bonded to one S(1) and three equivalent S(4) atoms to form FeS4 tetrahedra that share corners with three equivalent Al(1)S6 octahedra and corners with six equivalent Fe(1)S4 tetrahedra. The corner-sharing octahedral tilt angles are 60°. The Fe(1)-S(1) bond length is 2.38 Å. All Fe(1)-S(4) bond lengths are 2.22 Å. There are two inequivalent Al sites. In the first Al site, Al(1) is bonded to three equivalent S(1) and three equivalent S(2) atoms to form AlS6 octahedra that share corners with three equivalent Fe(1)S4 tetrahedra, corners with three equivalent Al(2)S4 tetrahedra, and edges with six equivalent Al(1)S6 octahedra. All Al(1)-S(1) bond lengths are 2.38 Å. All Al(1)-S(2) bond lengths are 2.52 Å. In the second Al site, Al(2) is bonded to one S(2) and three equivalent S(3) atoms to form AlS4 tetrahedra that share corners with three equivalent Al(1)S6 octahedra and corners with six equivalent Al(2)S4 tetrahedra. The corner-sharing octahedral tilt angles are 55°. The Al(2)-S(2) bond length is 2.21 Å. All Al(2)-S(3) bond lengths are 2.29 Å. There are four inequivalent S sites. In the first S site, S(1) is bonded to one Fe(1) and three equivalent Al(1) atoms to form distorted corner-sharing SAl3Fe tetrahedra. In the second S site, S(2) is bonded in a distorted rectangular see-saw-like geometry to one Al(2) and three equivalent Al(1) atoms. In the third S site, S(3) is bonded in a trigonal non-coplanar geometry to three equivalent Al(2) atoms. In the fourth S site, S(4) is bonded in a trigonal non-coplanar geometry to three equivalent Fe(1) atoms."
NbS2Cl2,"NbS2Cl2 crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one NbS2Cl2 sheet oriented in the (0, 0, 1) direction. Nb(1) is bonded in a 8-coordinate geometry to two equivalent S(1), two equivalent S(2), and four equivalent Cl(1) atoms. Both Nb(1)-S(1) bond lengths are 2.52 Å. Both Nb(1)-S(2) bond lengths are 2.51 Å. There are two shorter (2.59 Å) and two longer (2.62 Å) Nb(1)-Cl(1) bond lengths. There are two inequivalent S sites. In the first S site, S(1) is bonded in a 3-coordinate geometry to two equivalent Nb(1) and one S(2) atom. The S(1)-S(2) bond length is 2.02 Å. In the second S site, S(2) is bonded in a 3-coordinate geometry to two equivalent Nb(1) and one S(1) atom. Cl(1) is bonded in a water-like geometry to two equivalent Nb(1) atoms."
Mg3Au,"Mg3Au crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one Mg3Au sheet oriented in the (0, 0, 1) direction. There are two inequivalent Mg sites. In the first Mg site, Mg(1) is bonded in a 3-coordinate geometry to three equivalent Au(1) atoms. All Mg(1)-Au(1) bond lengths are 3.01 Å. In the second Mg site, Mg(2) is bonded in a trigonal planar geometry to three equivalent Au(1) atoms. All Mg(2)-Au(1) bond lengths are 2.63 Å. Au(1) is bonded in a 9-coordinate geometry to three equivalent Mg(2) and six equivalent Mg(1) atoms."
AuSe,"AuSe crystallizes in the monoclinic P2/m space group. The structure is two-dimensional and consists of one AuSe sheet oriented in the (0, 0, 1) direction. There are two inequivalent Au sites. In the first Au site, Au(1) is bonded in a square co-planar geometry to four equivalent Se(1) atoms. All Au(1)-Se(1) bond lengths are 2.51 Å. In the second Au site, Au(2) is bonded in a linear geometry to two equivalent Se(1) atoms. Both Au(2)-Se(1) bond lengths are 2.43 Å. Se(1) is bonded in a distorted T-shaped geometry to one Au(2) and two equivalent Au(1) atoms."
HfNBr,"HfNBr crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one HfNBr sheet oriented in the (0, 0, 1) direction. Hf(1) is bonded in a 7-coordinate geometry to four equivalent N(1) and three equivalent Br(1) atoms. There are three shorter (2.13 Å) and one longer (2.16 Å) Hf(1)-N(1) bond length. All Hf(1)-Br(1) bond lengths are 2.88 Å. N(1) is bonded to four equivalent Hf(1) atoms to form a mixture of corner and edge-sharing NHf4 tetrahedra. Br(1) is bonded in a 3-coordinate geometry to three equivalent Hf(1) atoms."
ErSeI,"ErSeI crystallizes in the orthorhombic Pmmn space group. The structure is two-dimensional and consists of one ErSeI sheet oriented in the (0, 0, 1) direction. Er(1) is bonded to four equivalent Se(1) and two equivalent I(1) atoms to form a mixture of corner and edge-sharing ErSe4I2 octahedra. The corner-sharing octahedral tilt angles are 14°. There are two shorter (2.80 Å) and two longer (2.84 Å) Er(1)-Se(1) bond lengths. Both Er(1)-I(1) bond lengths are 3.01 Å. Se(1) is bonded in a rectangular see-saw-like geometry to four equivalent Er(1) atoms. I(1) is bonded in an L-shaped geometry to two equivalent Er(1) atoms."
RhCl3,"RhCl3 is Aluminum trichloride-like structured and crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one RhCl3 sheet oriented in the (0, 0, 1) direction. Rh(1) is bonded to six equivalent Cl(1,2) atoms to form edge-sharing RhCl6 octahedra. All Rh(1)-Cl(1,2) bond lengths are 2.36 Å. Cl(1,2) is bonded in an L-shaped geometry to two equivalent Rh(1) atoms."
AuTe2Cl,"AuTe2Cl crystallizes in the orthorhombic Pmma space group. The structure is two-dimensional and consists of one AuTe2Cl sheet oriented in the (0, 0, 1) direction. Au(1) is bonded to four equivalent Te(1) and one Cl(1) atom to form edge-sharing AuTe4Cl square pyramids. All Au(1)-Te(1) bond lengths are 2.74 Å. The Au(1)-Cl(1) bond length is 3.01 Å. Te(1) is bonded in a 3-coordinate geometry to two equivalent Au(1) and one Te(1) atom. The Te(1)-Te(1) bond length is 2.78 Å. Cl(1) is bonded in a single-bond geometry to one Au(1) atom."
Na3As,"Na3As crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one Na3As sheet oriented in the (0, 0, 1) direction. There are two inequivalent Na sites. In the first Na site, Na(1) is bonded in a 7-coordinate geometry to one Na(1), three equivalent Na(2), and three equivalent As(1) atoms. The Na(1)-Na(1) bond length is 3.02 Å. All Na(1)-Na(2) bond lengths are 3.20 Å. All Na(1)-As(1) bond lengths are 3.20 Å. In the second Na site, Na(2) is bonded in a trigonal planar geometry to six equivalent Na(1) and three equivalent As(1) atoms. All Na(2)-As(1) bond lengths are 2.82 Å. As(1) is bonded in a 9-coordinate geometry to three equivalent Na(2) and six equivalent Na(1) atoms."
CuBi(PSe3)2,"CuBi(PSe3)2 crystallizes in the trigonal P312 space group. The structure is two-dimensional and consists of one CuBi(PSe3)2 sheet oriented in the (0, 0, 1) direction. Cu(1) is bonded to six equivalent Se(1) atoms to form CuSe6 octahedra that share corners with six equivalent P(1)PSe3 tetrahedra and edges with three equivalent Bi(1)Se6 octahedra. All Cu(1)-Se(1) bond lengths are 2.70 Å. Bi(1) is bonded to six equivalent Se(1) atoms to form BiSe6 octahedra that share corners with six equivalent P(1)PSe3 tetrahedra and edges with three equivalent Cu(1)Se6 octahedra. All Bi(1)-Se(1) bond lengths are 2.98 Å. P(1) is bonded to one P(1) and three equivalent Se(1) atoms to form PPSe3 tetrahedra that share corners with three equivalent Cu(1)Se6 octahedra and corners with three equivalent Bi(1)Se6 octahedra. The corner-sharing octahedral tilt angles range from 73-81°. The P(1)-P(1) bond length is 2.29 Å. All P(1)-Se(1) bond lengths are 2.22 Å. Se(1) is bonded in a distorted trigonal non-coplanar geometry to one Cu(1), one Bi(1), and one P(1) atom."
As,"As crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one As sheet oriented in the (0, 0, 1) direction. As(1) is bonded in a distorted T-shaped geometry to three equivalent As(1) atoms. All As(1)-As(1) bond lengths are 2.51 Å."
Th(TeI)2,"Th(TeI)2 crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one Th(TeI)2 sheet oriented in the (0, 0, 1) direction. Th(1) is bonded in a 8-coordinate geometry to two equivalent Te(1), two equivalent Te(2), and four equivalent I(1) atoms. Both Th(1)-Te(1) bond lengths are 3.23 Å. Both Th(1)-Te(2) bond lengths are 3.21 Å. There are two shorter (3.18 Å) and two longer (3.24 Å) Th(1)-I(1) bond lengths. There are two inequivalent Te sites. In the first Te site, Te(1) is bonded in a 3-coordinate geometry to two equivalent Th(1) and one Te(2) atom. The Te(1)-Te(2) bond length is 2.77 Å. In the second Te site, Te(2) is bonded in a 2-coordinate geometry to two equivalent Th(1) and one Te(1) atom. I(1) is bonded in a water-like geometry to two equivalent Th(1) atoms."
BiS2,"BiS2 crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one BiS2 sheet oriented in the (0, 0, 1) direction. Bi(1) is bonded to two equivalent S(2) and three equivalent S(1) atoms to form edge-sharing BiS5 square pyramids. Both Bi(1)-S(2) bond lengths are 2.88 Å. There is one shorter (2.60 Å) and two longer (2.82 Å) Bi(1)-S(1) bond lengths. There are two inequivalent S sites. In the first S site, S(1) is bonded in a 3-coordinate geometry to three equivalent Bi(1) atoms. In the second S site, S(2) is bonded in a distorted T-shaped geometry to two equivalent Bi(1) and one S(2) atom. The S(2)-S(2) bond length is 2.12 Å."
Au3SnP7,"Au3SnP7 crystallizes in the triclinic P1 space group. The structure is two-dimensional and consists of one Au3SnP7 sheet oriented in the (0, 0, 1) direction. There are three inequivalent Au sites. In the first Au site, Au(1) is bonded in a distorted single-bond geometry to one P(2) and one P(4) atom. The Au(1)-P(2) bond length is 2.34 Å. The Au(1)-P(4) bond length is 2.39 Å. In the second Au site, Au(2) is bonded in a 5-coordinate geometry to one Sn(1), one P(3), one P(7), and two equivalent P(6) atoms. The Au(2)-Sn(1) bond length is 3.14 Å. The Au(2)-P(3) bond length is 2.45 Å. The Au(2)-P(7) bond length is 2.47 Å. There is one shorter (2.59 Å) and one longer (2.62 Å) Au(2)-P(6) bond length. In the third Au site, Au(3) is bonded in a 3-coordinate geometry to one Sn(1), one P(1), and one P(5) atom. The Au(3)-Sn(1) bond length is 2.97 Å. The Au(3)-P(1) bond length is 2.37 Å. The Au(3)-P(5) bond length is 2.36 Å. Sn(1) is bonded in a 6-coordinate geometry to one Au(2), one Au(3), one P(1), one P(2), one P(3), and one P(6) atom. The Sn(1)-P(1) bond length is 2.68 Å. The Sn(1)-P(2) bond length is 2.92 Å. The Sn(1)-P(3) bond length is 2.68 Å. The Sn(1)-P(6) bond length is 2.79 Å. There are seven inequivalent P sites. In the first P site, P(1) is bonded to one Au(3), one Sn(1), one P(3), and one P(5) atom to form distorted PSnP2Au tetrahedra that share  a cornercorner with one P(5)P3Au tetrahedra and  a cornercorner with one P(3)SnP2Au tetrahedra. The P(1)-P(3) bond length is 2.23 Å. The P(1)-P(5) bond length is 2.28 Å. In the second P site, P(2) is bonded in a 4-coordinate geometry to one Au(1), one Sn(1), one P(4), and one P(5) atom. The P(2)-P(4) bond length is 2.22 Å. The P(2)-P(5) bond length is 2.21 Å. In the third P site, P(3) is bonded to one Au(2), one Sn(1), one P(1), and one P(7) atom to form distorted PSnP2Au tetrahedra that share  a cornercorner with one P(5)P3Au tetrahedra and  a cornercorner with one P(1)SnP2Au tetrahedra. The P(3)-P(7) bond length is 2.29 Å. In the fourth P site, P(4) is bonded in a distorted T-shaped geometry to one Au(1), one P(2), and one P(5) atom. The P(4)-P(5) bond length is 2.31 Å. In the fifth P site, P(5) is bonded to one Au(3), one P(1), one P(2), and one P(4) atom to form distorted corner-sharing PP3Au tetrahedra. In the sixth P site, P(6) is bonded in a 4-coordinate geometry to two equivalent Au(2), one Sn(1), and one P(7) atom. The P(6)-P(7) bond length is 2.17 Å. In the seventh P site, P(7) is bonded in a 3-coordinate geometry to one Au(2), one P(3), and one P(6) atom."
BaB2Se3(Se)3,"BaB2Se3(Se)3 crystallizes in the monoclinic Cm space group. The structure is two-dimensional and consists of two Se clusters and one BaB2Se3 sheet oriented in the (0, 0, 1) direction. In each Se cluster, there are two inequivalent Se sites. In the first Se site, Se(3) is bonded in a bent 120 degrees geometry to two equivalent Se(2) atoms. Both Se(3)-Se(2) bond lengths are 2.24 Å. In the second Se site, Se(2) is bonded in a single-bond geometry to one Se(3) atom. In the BaB2Se3 sheet, Ba(1) is bonded in a 7-coordinate geometry to two equivalent B(1), one Se(4), and four equivalent Se(1) atoms. Both Ba(1)-B(1) bond lengths are 3.10 Å. The Ba(1)-Se(4) bond length is 3.47 Å. There are two shorter (3.24 Å) and two longer (3.31 Å) Ba(1)-Se(1) bond lengths. B(1) is bonded in a 4-coordinate geometry to one Ba(1), one B(1), one Se(1), and one Se(4) atom. The B(1)-B(1) bond length is 1.62 Å. The B(1)-Se(1) bond length is 1.87 Å. The B(1)-Se(4) bond length is 2.01 Å. There are two inequivalent Se sites. In the first Se site, Se(4) is bonded in a distorted trigonal planar geometry to one Ba(1) and two equivalent B(1) atoms. In the second Se site, Se(1) is bonded in a single-bond geometry to two equivalent Ba(1) and one B(1) atom."
CoI2,"CoI2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one CoI2 sheet oriented in the (0, 0, 1) direction. Co(1) is bonded to six equivalent I(1) atoms to form edge-sharing CoI6 octahedra. All Co(1)-I(1) bond lengths are 2.74 Å. I(1) is bonded in a distorted T-shaped geometry to three equivalent Co(1) atoms."
SiS2,"SiS2 is Silicon Disuphide-like structured and crystallizes in the orthorhombic Pccm space group. The structure is one-dimensional and consists of one SiS2 ribbon oriented in the (0, 1, 0) direction. Si(1) is bonded to four equivalent S(1) atoms to form edge-sharing SiS4 tetrahedra. All Si(1)-S(1) bond lengths are 2.15 Å. S(1) is bonded in an L-shaped geometry to two equivalent Si(1) atoms."
UBr4,"UBr4 crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one UBr4 sheet oriented in the (0, 0, 1) direction. U(1) is bonded to one Br(3), two equivalent Br(2), and four equivalent Br(1) atoms to form edge-sharing UBr7 pentagonal bipyramids. The U(1)-Br(3) bond length is 2.65 Å. There is one shorter (2.83 Å) and one longer (3.01 Å) U(1)-Br(2) bond length. There are two shorter (2.89 Å) and two longer (2.90 Å) U(1)-Br(1) bond lengths. There are three inequivalent Br sites. In the first Br site, Br(1) is bonded in a water-like geometry to two equivalent U(1) atoms. In the second Br site, Br(2) is bonded in a water-like geometry to two equivalent U(1) atoms. In the third Br site, Br(3) is bonded in a single-bond geometry to one U(1) atom."
FeS2,"FeS2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one FeS2 sheet oriented in the (0, 0, 1) direction. Fe(1) is bonded to six equivalent S(1) atoms to form edge-sharing FeS6 octahedra. All Fe(1)-S(1) bond lengths are 2.28 Å. S(1) is bonded in a distorted T-shaped geometry to three equivalent Fe(1) atoms."
MgBr2,"MgBr2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one MgBr2 sheet oriented in the (0, 0, 1) direction. Mg(1) is bonded to six equivalent Br(1) atoms to form edge-sharing MgBr6 octahedra. All Mg(1)-Br(1) bond lengths are 2.68 Å. Br(1) is bonded in a distorted T-shaped geometry to three equivalent Mg(1) atoms."
